Property;Belongs to;Description
accesskey;Global Attributes;Specifies a shortcut key to activate/focus an element
class;Global Attributes;Specifies one or more classnames for an element (refers to a class in a style sheet)
contenteditable;Global Attributes;Specifies whether the content of an element is editable or not
data-*;Global Attributes;Used to store custom data private to the page or application
dir;Global Attributes;Specifies the text direction for the content in an element
draggable;Global Attributes;Specifies whether an element is draggable or not
hidden;Global Attributes;Specifies that an element is not yet or is no longer relevant
id;Global Attributes;Specifies a unique id for an element
lang;Global Attributes;Specifies the language of the element's content
spellcheck;Global Attributes;Specifies whether the element is to have its spelling and grammar checked or not
style;Global Attributes;Specifies an inline CSS style for an element
tabindex;Global Attributes;Specifies the tabbing order of an element
title;Global Attributes;Specifies extra information about an element
translate;Global Attributes;Specifies whether the content of an element should be translated or not
onblur;All visible elements.;Script to be run when the element loses focus
onchange;All visible elements.;Script to be run when the value of the element is changed
onclick;All visible elements.;Script to be run when the element is being clicked
oncontextmenu;All visible elements.;Script to be run when a context menu is triggered
oncopy;All visible elements.;Script to be run when the content of the element is being copied
oncut;All visible elements.;Script to be run when the content of the element is being cut
ondblclick;All visible elements.;Script to be run when the element is being double-clicked
ondrag;All visible elements.;Script to be run when the element is being dragged
ondragend;All visible elements.;Script to be run at the end of a drag operation
ondragenter;All visible elements.;Script to be run when an element has been dragged to a valid drop target
ondragleave;All visible elements.;Script to be run when an element leaves a valid drop target
ondragover;All visible elements.;Script to be run when an element is being dragged over a valid drop target
ondragstart;All visible elements.;Script to be run at the start of a drag operation
ondrop;All visible elements.;Script to be run when dragged element is being dropped
onfocus;All visible elements.;Script to be run when the element gets focus
oninput;All visible elements.;Script to be run when the element gets user input
oninvalid;All visible elements.;Script to be run when the element is invalid
onkeydown;All visible elements.;Script to be run when a user is pressing a key
onkeypress;All visible elements.;Script to be run when a user presses a key
onkeyup;All visible elements.;Script to be run when a user releases a key
onmousedown;All visible elements.;Script to be run when a mouse button is pressed down on an element
onmousemove;All visible elements.;Script to be run as long as the  mouse pointer is moving over an element
onmouseout;All visible elements.;Script to be run when a mouse pointer moves out of an element
onmouseover;All visible elements.;Script to be run when a mouse pointer moves over an element
onmouseup;All visible elements.;Script to be run when a mouse button is released over an element
onmousewheel;All visible elements.;Script to be run when a mouse wheel is being scrolled over an element
onpaste;All visible elements.;Script to be run when the user pastes some content in an element
onscroll;All visible elements.;Script to be run when an element's scrollbar is being scrolled
onselect;All visible elements.;Script to be run when the element gets selected
onwheel;All visible elements.;Script to be run when the mouse wheel rolls up or down over an element
muted;<video> <audio>;Specifies that the audio output of the video should be muted
poster;<video>;Specifies an image to be shown while the video is downloading or until the user hits the play button
label;<track> <option> <optgroup>;Specifies the title of the text track
default;<track>;Specifies that the track is to be enabled if the user's preferences do not indicate that another track would be more appropriate
kind;<track>;Specifies the kind of text track
oncuechange;<track>;Script to be run when the cue changes in a <track> element
srclang;<track>;"Specifies the language of the track text data (required if kind=""subtitles"")"
scope;<th>;Specifies whether a header cell is a header for a column row or group of columns or rows
cols;<textarea>;Specifies the visible width of a text area
rows;<textarea>;Specifies the visible number of lines in a text area
wrap;<textarea>;Specifies how the text in a text area is to be wrapped when submitted in a form
colspan;<td> <th>;Specifies the number of columns a table cell should span
headers;<td> <th>;Specifies one or more headers cells a cell is related to
rowspan;<td> <th>;Specifies the number of rows a table cell should span
async;<script>;Specifies that the script is executed asynchronously (only for external scripts)
defer;<script>;Specifies that the script is executed when the page has finished parsing (only for external scripts)
selected;<option>;Specifies that an option should be pre-selected when the page loads
reversed;<ol>;Specifies that the list order should be descending (987...)
start;<ol>;Specifies the start value of an ordered list
data;<object>;Specifies the URL of the resource to be used by the object
high;<meter>;Specifies the range that is considered to be a high value
low;<meter>;Specifies the range that is considered to be a low value
optimum;<meter>;Specifies what value is the optimal value for the gauge
charset;<meta> <script>;Specifies the character encoding
content;<meta>;Gives the value associated with the http-equiv or name attribute
http-equiv;<meta>;Provides an HTTP header for the information/value of the content attribute
for;<label> <output>;Specifies which form element(s) a label/calculation is bound to
dirname;<input> <textarea>;Specifies that the text direction will be submitted
maxlength;<input> <textarea>;Specifies the maximum number of characters allowed in an element
placeholder;<input> <textarea>;Specifies a short hint that describes the expected value of the element
readonly;<input> <textarea>;Specifies that the element is read-only
required;<input> <select> <textarea>;Specifies that the element must be filled out before submitting the form
multiple;<input> <select>;Specifies that a user can enter more than one value
size;<input> <select>;Specifies the width in characters (for <input>) or specifies the number of visible options (for <select>)
max;<input> <meter> <progress>;Specifies the maximum value
min;<input> <meter>;Specifies a minimum value
accept;<input>;"Specifies the types of files that the server accepts (only for type=""file"")"
checked;<input>;"Specifies that an <input> element should be pre-selected when the page loads (for type=""checkbox"" or type=""radio"")"
list;<input>;Refers to a <datalist> element that contains pre-defined options for an <input> element
onsearch;<input>;"Script to be run when the user writes something in a search field (for <input=""search"">)"
pattern;<input>;Specifies a regular expression that an <input> element's value is checked against
step;<input>;Specifies the legal number intervals for an input field
srcset;<img> <source>;Specifies the URL of the image to use in different situations
usemap;<img> <object>;Specifies an image as a client-side image map
sizes;<img> <link> <source>;Specifies the size of the linked resource
ismap;<img>;Specifies an image as a server-side image map
sandbox;<iframe>;Enables an extra set of restrictions for the content in an <iframe>
srcdoc;<iframe>;Specifies the HTML content of the page to show in the <iframe>
autocomplete;<form> <input>;Specifies whether the <form> or the <input> element should have autocomplete enabled
accept-charset;<form>;Specifies the character encodings that are to be used for the form submission
action;<form>;Specifies where to send the form-data when a form is submitted
enctype;<form>;"Specifies how the form-data should be encoded when submitting it to the server (only for method=""post"")"
method;<form>;Specifies the HTTP method to use when sending form-data
novalidate;<form>;Specifies that the form should not be validated when submitted
onreset;<form>;Script to be run when a reset button in a form is clicked.
onsubmit;<form>;Script to be run when a form is submitted
ontoggle;<details>;Script to be run when the user opens or closes the <details> element
open;<details>;Specifies that the details should be visible (open) to the user
datetime;<del> <ins> <time>;Specifies the date and time
span;<col> <colgroup>;Specifies the number of columns to span
height;<canvas> <embed> <iframe> <img> <input> <object> <video>;Specifies the height of the element
width;<canvas> <embed> <iframe> <img> <input> <object> <video>;Specifies the width of the element
autofocus;<button> <input> <select> <textarea>;Specifies that the element should automatically get focus when the page loads
value;<button> <input> <li> <option> <meter> <progress> <param>;Specifies the value of the element
formaction;<button> <input>;"Specifies where to send the form-data when a form is submitted. Only for type=""submit"""
disabled;<button> <fieldset> <input> <optgroup> <option> <select> <textarea>;Specifies that the specified element/group of elements should be disabled
form;<button> <fieldset> <input> <label> <meter> <object> <output> <select> <textarea>;Specifies the name of the form the element belongs to
name;<button> <fieldset> <form> <iframe> <input> <map> <meta> <object> <output> <param> <select> <textarea>;Specifies the name of the element
onload;<body> <iframe> <img> <input> <link> <script> <style>;Script to be run when the element is finished loading
onafterprint;<body>;Script to be run after the document is printed
onbeforeprint;<body>;Script to be run before the document is printed
onbeforeunload;<body>;Script to be run when the document is about to be unloaded
onhashchange;<body>;Script to be run when there has been changes to the anchor part of the a URL
onoffline;<body>;Script to be run when the browser starts to work offline
ononline;<body>;Script to be run when the browser starts to work online
onpagehide;<body>;Script to be run when a user navigates away from a page
onpageshow;<body>;Script to be run when a user navigates to a page
onpopstate;<body>;Script to be run when the window's history changes.
onresize;<body>;Script to be run when the browser window is being resized.
onstorage;<body>;Script to be run when a Web Storage area is updated
onunload;<body>;Script to be run when a page has unloaded (or the browser window has been closed)
cite;<blockquote> <del> <ins> <q>;Specifies a URL which explains the quote/deleted/inserted text
autoplay;<audio> <video>;Specifies that the audio/video will start playing as soon as it is ready
controls;<audio> <video>;Specifies that audio/video controls should be displayed (such as a play/pause button etc)
loop;<audio> <video>;Specifies that the audio/video will start over again every time it is finished
oncanplaythrough;<audio> <video>;Script to be run when a file can be played all the way to the end without pausing for buffering
ondurationchange;<audio> <video>;Script to be run when the length of the media changes
onemptied;<audio> <video>;Script to be run when something bad happens and the file is suddenly unavailable (like unexpectedly disconnects)
onended;<audio> <video>;"Script to be run when the media has reach the end (a useful event for messages like ""thanks for listening"")"
onloadeddata;<audio> <video>;Script to be run when media data is loaded
onloadedmetadata;<audio> <video>;Script to be run when meta data (like dimensions and duration) are loaded
onloadstart;<audio> <video>;Script to be run just as the file begins to load before anything is actually loaded
onpause;<audio> <video>;Script to be run when the media is paused either by the user or programmatically
onplay;<audio> <video>;Script to be run when the media has started playing
onplaying;<audio> <video>;Script to be run when the media has started playing
onprogress;<audio> <video>;Script to be run when the browser is in the process of getting the media data
onratechange;<audio> <video>;Script to be run each time the playback rate changes (like when a user switches to a slow motion or fast forward mode).
onseeked;<audio> <video>;Script to be run when the seeking attribute is set to false indicating that seeking has ended
onseeking;<audio> <video>;Script to be run when the seeking attribute is set to true indicating that seeking is active
onstalled;<audio> <video>;Script to be run when the browser is unable to fetch the media data for whatever reason
onsuspend;<audio> <video>;Script to be run when fetching the media data is stopped before it is completely loaded for whatever reason
ontimeupdate;<audio> <video>;Script to be run when the playing position has changed (like when the user fast forwards to a different point in the media)
onvolumechange;<audio> <video>;Script to be run each time the volume of a video/audio has been changed
onwaiting;<audio> <video>;Script to be run when the media has paused but is expected to resume (like when the media pauses to buffer more data)
preload;<audio> <video>;Specifies if and how the author thinks the audio/video should be loaded when the page loads
oncanplay;<audio> <embed> <object> <video>;Script to be run when a file is ready to start playing (when it has buffered enough to begin)
onabort;<audio> <embed> <img> <object> <video>;Script to be run on abort
src;<audio> <embed> <iframe> <img> <input> <script> <source> <track> <video>;Specifies the URL of the media file
onerror;<audio> <body> <embed> <img> <object> <script> <style> <video>;Script to be run when an error occurs
alt;<area> <img> <input>;Specifies an alternate text when the original element fails to display
coords;<area>;Specifies the coordinates of the area
shape;<area>;Specifies the shape of the area
type;<a> <button> <embed> <input> <link> <menu> <object> <script> <source> <style>;Specifies the type of element
media;<a> <area> <link> <source> <style>;Specifies what media/device the linked document is optimized for
hreflang;<a> <area> <link>;Specifies the language of the linked document
rel;<a> <area> <form> <link>;Specifies the relationship between the current document and the linked document
href;<a> <area> <base> <link>;Specifies the URL of the page the link goes to
target;<a> <area> <base> <form>;Specifies the target for where to open the linked document or where to submit the form
download;<a> <area>;Specifies that the target will be downloaded when a user clicks on the hyperlink
